"id","nLL","kernel","acq","R2","kError","lambda","beta","tau","epsilon"
541,738.828594147433,"RBF","epsilonGreedy",0.111746375963779,NA,0.4026030155856,NA,0.428628356117918,NA
553,696.32563799025,"RBF","epsilonGreedy",0.162845379356353,NA,0.753263477287373,NA,0.420516511243988,NA
556,765.834370351721,"RBF","epsilonGreedy",0.0792787931260419,NA,0.139933230285926,NA,14.274735417941,NA
589,406.317140300017,"RBF","epsilonGreedy",0.511506897217483,NA,0.080278028739205,NA,0.0796883625802519,NA
595,683.330844751873,"RBF","epsilonGreedy",0.178468315825006,NA,0.779234463825091,NA,0.320079840608242,NA
607,833.195014292707,"RBF","epsilonGreedy",-0.0017052626779146,NA,0.907595532070748,NA,4.46753390744623,NA
633,756.736587933578,"RBF","epsilonGreedy",0.0902165644408263,NA,0.803583205856204,NA,0.371524103525964,NA
656,839.364296140898,"RBF","epsilonGreedy",-0.00912225628477392,NA,0.422818077940367,NA,3.82265120043356,NA
659,721.83990641549,"RBF","epsilonGreedy",0.132170955582183,NA,0.304383646113663,NA,0.467344085425921,NA
661,819.6322630825,"RBF","epsilonGreedy",0.0146004989152327,NA,0.258997321642287,NA,6.80017694350163,NA
717,777.965313597418,"RBF","epsilonGreedy",0.0646944167411483,NA,0.557241784885427,NA,0.134266751280802,NA
730,764.941105176182,"RBF","epsilonGreedy",0.0803527174918326,NA,0.523274032967723,NA,0.33295092171092,NA
738,794.837190025462,"RBF","epsilonGreedy",0.0444102730301228,NA,0.136843307714247,NA,2.43064085348388,NA
739,776.642204488415,"RBF","epsilonGreedy",0.0662851191995759,NA,0.583076628002333,NA,0.36262366418082,NA
753,827.597527226115,"RBF","epsilonGreedy",0.00502429301576235,NA,0.707531133950519,NA,1.59074257131311,NA
773,705.306987232109,"RBF","epsilonGreedy",0.152047589346584,NA,0.688977452815441,NA,0.231915496157168,NA
775,786.639417778495,"RBF","epsilonGreedy",0.0542660108359864,NA,0.295405624005318,NA,14.3234215315433,NA
787,699.119561075113,"RBF","epsilonGreedy",0.159486396873722,NA,0.29847026847154,NA,0.321251611050708,NA
816,838.413757801428,"RBF","epsilonGreedy",-0.00797947549433387,NA,0.576733693989693,NA,25.278283174647,NA
839,826.202092350727,"RBF","epsilonGreedy",0.00670194882793418,NA,0.206532211239624,NA,7.48066321331984,NA
859,770.292257722037,"RBF","epsilonGreedy",0.0739193164577118,NA,0.78864508528864,NA,0.301487048047729,NA
862,732.370608536989,"RBF","epsilonGreedy",0.119510462475712,NA,0.434480678366133,NA,3.63622330184025,NA
888,640.841150762569,"RBF","epsilonGreedy",0.229551374831055,NA,0.905771145299689,NA,0.220648709678862,NA
