"lambda","beta","tau","mu","replication"
0.88819867225378,0.725052883314922,0.00673794699908547,23.8253576822921,7
0.88819867225378,0.725052883314922,0.00673794699908547,31.1358793948416,8
0.88819867225378,0.725052883314922,0.00673794699908547,28.8983800736312,9
0.88819867225378,0.725052883314922,0.00673794699908547,29.4527212122247,10
1.44936145050558,0.725052883314922,0.00673794699908547,31.773791619492,1
1.44936145050558,0.725052883314922,0.00673794699908547,34.7910737474243,2
1.44936145050558,0.725052883314922,0.00673794699908547,34.2456088530763,3
1.44936145050558,0.725052883314922,0.00673794699908547,25.5488846982363,4
1.44936145050558,0.725052883314922,0.00673794699908547,30.3563447780497,5
1.44936145050558,0.725052883314922,0.00673794699908547,33.9783067597954,6
1.44936145050558,0.725052883314922,0.00673794699908547,33.4628097004729,7
1.44936145050558,0.725052883314922,0.00673794699908547,27.7114057486972,8
1.44936145050558,0.725052883314922,0.00673794699908547,33.7228122959001,9
1.44936145050558,0.725052883314922,0.00673794699908547,33.4737608035715,10
0.204413870080183,1.29634922634537,0.00673794699908547,25.1116857159234,1
0.204413870080183,1.29634922634537,0.00673794699908547,21.1619439249407,2
0.204413870080183,1.29634922634537,0.00673794699908547,23.1178498764382,3
0.204413870080183,1.29634922634537,0.00673794699908547,22.0976186632023,4
